'cards_page_22_2_3';'<img src="cards_page_22_2_3.png">';'пентоксифиллин';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_22_2_2';'<img src="cards_page_22_2_2.png">';'теофиллин';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_22_2_1';'<img src="cards_page_22_2_1.png">';'пантапразол';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_22_1_2';'<img src="cards_page_22_1_2.png">';'рабепразол';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_22_1_1';'<img src="cards_page_22_1_1.png">';'лансопразол';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_21_2_3';'<img src="cards_page_21_2_3.png">';'эзомепразол';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_21_2_2';'<img src="cards_page_21_2_2.png">';'Фамотидин';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_21_1_3';'<img src="cards_page_21_1_3.png">';'омепразол';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_21_1_2';'<img src="cards_page_21_1_2.png">';'Ранитидин';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_40_1_3';'<img src="cards_page_40_1_3.png">';'цефаклор';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_32_2_2';'<img src="cards_page_32_2_2.png">';'метилпреднизолон';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_32_2_1';'<img src="cards_page_32_2_1.png">';'гидрокортизона ацетат';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_32_1_3';'<img src="cards_page_32_1_3.png">';'бетаметазона валерат';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_32_1_2';'<img src="cards_page_32_1_2.png">';'приеднизолон';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_32_1_1';'<img src="cards_page_32_1_1.png">';'гидрокортизон';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_31_2_3';'<img src="cards_page_31_2_3.png">';'флудрокортизона ацетат';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_31_2_2';'<img src="cards_page_31_2_2.png">';'метформина гидрохлорид';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_31_2_1';'<img src="cards_page_31_2_1.png">';'глипизид';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_31_1_3';'<img src="cards_page_31_1_3.png">';'дезоксикортона ацетат';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_31_1_2';'<img src="cards_page_31_1_2.png">';'гликвидон';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_31_1_1';'<img src="cards_page_31_1_1.png">';'гликлозид';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_30_2_3';'<img src="cards_page_30_2_3.png">';'глибенкламид';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
'cards_page_30_2_2';'<img src="cards_page_30_2_2.png">';'левотироксин натрия';'';'';'';'. <a href="">ru:w:</a>, <a href="">en:w:</a>, <a href="">ru:lm:</a>'
